Municípios,Gentílico,PIB per capita,População
Cruzília,mineiro,"20461,59 R$",15362 pessoas
Cuparaque,mineiro,"14734,12 R$",3983 pessoas
Curral de Dentro,mineiro,"10226,6 R$",7406 pessoas
Curvelo,mineiro,"27509,61 R$",80665 pessoas
Datas,mineiro,"13618,93 R$",5465 pessoas
Delfim Moreira,mineiro,"15700,68 R$",7952 pessoas
Delfinópolis,mineiro,"34599,14 R$",8393 pessoas
Delta,mineiro,"42456,49 R$",10494 pessoas
Descoberto,mineiro,"16206,3 R$",4928 pessoas
Desterro de Entre Rios,mineiro,"35948,85 R$",7653 pessoas
Desterro do Melo,mineiro,"17657,89 R$",2994 pessoas
Diamantina,mineiro,"20537,92 R$",47702 pessoas
Diogo de Vasconcelos,mineiro,"11363,34 R$",3549 pessoas
Dionísio,mineiro,"12128,99 R$",6847 pessoas
Divinésia,mineiro,"18575,93 R$",4226 pessoas
Divino,mineiro,"15957,14 R$",20706 pessoas
Divino das Laranjeiras,mineiro,"12416,03 R$",4178 pessoas
Divinolândia de Minas,mineiro,"10750,55 R$",6516 pessoas
Divinópolis,mineiro,"34355,36 R$",231091 pessoas
Divisa Alegre,mineiro,"25656,27 R$",6321 pessoas
Divisa Nova,mineiro,"21452,98 R$",5851 pessoas
Divisópolis,mineiro,"8178,51 R$",10213 pessoas
Dom Bosco,mineiro,"19065,15 R$",3697 pessoas
Dom Cavati,mineiro,"13860,37 R$",4904 pessoas
Dom Joaquim,mineiro,"15289,15 R$",4899 pessoas
Dom Silvério,mineiro,"20648,91 R$",5228 pessoas
Dom Viçoso,mineiro,"13052,06 R$",3095 pessoas
Dona Euzébia,mineiro,"16492,38 R$",6093 pessoas
Dores de Campos,mineiro,"31116,02 R$",10007 pessoas
Dores de Guanhães,mineiro,"37105,01 R$",5029 pessoas
Dores do Indaiá,mineiro,"26339,03 R$",12630 pessoas
Dores do Turvo,mineiro,"15908,49 R$",4987 pessoas
Doresópolis,mineiro,"54667,85 R$",1461 pessoas
Douradoquara,mineiro,"41427,06 R$",1829 pessoas
Durandé,mineiro,"15560,07 R$",7817 pessoas
Elói Mendes,mineiro,"24720,9 R$",26336 pessoas
Engenheiro Caldas,mineiro,"13936,2 R$",13622 pessoas
Engenheiro Navarro,mineiro,"12715,66 R$",6354 pessoas
Entre Folhas,mineiro,"12061,39 R$",5179 pessoas
Entre Rios de Minas,mineiro,"17481,31 R$",14746 pessoas
Ervália,mineiro,"21529,87 R$",20255 pessoas
Esmeraldas,mineiro,"13419,92 R$",85598 pessoas
Espera Feliz,mineiro,"16254,21 R$",24102 pessoas
Espinosa,mineiro,"11517,31 R$",30443 pessoas
Espírito Santo do Dourado,mineiro,"25854,33 R$",6611 pessoas
Estiva,mineiro,"52723,75 R$",11502 pessoas
Estrela Dalva,mineiro,"18586,66 R$",2186 pessoas
Estrela do Indaiá,mineiro,"47456,81 R$",2772 pessoas
Estrela do Sul,mineiro,"43679,34 R$",6840 pessoas
Eugenópolis,mineiro,"19487,85 R$",10801 pessoas
Ewbank da Câmara,mineiro,"13825,96 R$",3875 pessoas
Extrema,mineiro,"362591,97 R$",53482 pessoas
Fama,mineiro,"24698,85 R$",2578 pessoas
Faria Lemos,mineiro,"20105,49 R$",3188 pessoas
Felício dos Santos,mineiro,"15837,34 R$",5133 pessoas
Felisburgo,mineiro,"10030,05 R$",6489 pessoas
Felixlândia,mineiro,"18106,34 R$",13978 pessoas
Fernandes Tourinho,mineiro,"13101,7 R$",2789 pessoas
Ferros,mineiro,"15447,38 R$",9590 pessoas
Fervedouro,mineiro,"14134,11 R$",10445 pessoas
Florestal,mineiro,"18785,7 R$",8045 pessoas
Formiga,mineiro,"32581,52 R$",68248 pessoas
Formoso,mineiro,"32101,59 R$",7949 pessoas
Fortaleza de Minas,mineiro,"24956,6 R$",3477 pessoas
Fortuna de Minas,mineiro,"17170,82 R$",3093 pessoas
Francisco Badaró,mineiro,"7546,65 R$",7366 pessoas
Francisco Dumont,mineiro,"14352,6 R$",4503 pessoas
Francisco Sá,mineiro,"17077,75 R$",23476 pessoas
Franciscópolis,mineiro,"19449,13 R$",5034 pessoas
Frei Gaspar,mineiro,"13674,68 R$",5640 pessoas
Frei Inocêncio,mineiro,"15488,87 R$",8226 pessoas
Frei Lagonegro,mineiro,"10171,36 R$",3391 pessoas
Fronteira,mineiro,"49568,1 R$",14540 pessoas
Fronteira dos Vales,mineiro,"10777,9 R$",4345 pessoas
Fruta de Leite,mineiro,"8999,57 R$",4647 pessoas
Frutal,mineiro,"40872,58 R$",58588 pessoas
Funilândia,mineiro,"18794,03 R$",4686 pessoas
Galiléia,mineiro,"16814,67 R$",6222 pessoas
Gameleiras,mineiro,"11278,35 R$",4793 pessoas
Glaucilândia,mineiro,"12945,77 R$",2928 pessoas
Goiabeira,mineiro,"14670,26 R$",2830 pessoas
Goianá,mineiro,"15513,28 R$",4053 pessoas
Gonçalves,mineiro,"21624,99 R$",4727 pessoas
Gonzaga,mineiro,"11153,48 R$",5230 pessoas
Gouveia,mineiro,"16842,21 R$",11331 pessoas
Governador Valadares,mineiro,"26165,06 R$",257171 pessoas
Grão Mogol,mineiro,"48352,82 R$",13901 pessoas
Grupiara,mineiro,"31890,41 R$",1392 pessoas
Guanhães,mineiro,"28633,61 R$",32244 pessoas
Guapé,mineiro,"27386,89 R$",13772 pessoas
Guaraciaba,mineiro,"11179,62 R$",9753 pessoas
Guaraciama,mineiro,"15589,72 R$",5051 pessoas
Guaranésia,mineiro,"28891,14 R$",19150 pessoas
Guarani,mineiro,"19461,62 R$",7714 pessoas
Guarará,mineiro,"15349,17 R$",3149 pessoas
Guarda-Mor,mineiro,"114474,42 R$",6539 pessoas
Guaxupé,mineiro,"53726,8 R$",50911 pessoas
Guidoval,mineiro,"17600,19 R$",7131 pessoas
Guimarânia,mineiro,"40063,15 R$",8478 pessoas
Guiricema,mineiro,"13793,57 R$",7778 pessoas
Gurinhatã,mineiro,"32779,01 R$",5192 pessoas
Heliodora,mineiro,"20150,08 R$",6134 pessoas
Iapu,mineiro,"15915,1 R$",12030 pessoas
Ibertioga,mineiro,"20716,39 R$",5198 pessoas
Ibiá,mineiro,"60160,3 R$",22229 pessoas
Ibiaí,mineiro,"13560,18 R$",6286 pessoas
Ibiracatu,mineiro,"9600,19 R$",5081 pessoas
Ibiraci,mineiro,"51550,46 R$",10948 pessoas
Ibirité,mineiro,"17407,52 R$",170537 pessoas
Ibitiúra de Minas,mineiro,"22201,2 R$",3365 pessoas
Ibituruna,mineiro,"19766,09 R$",2698 pessoas
Icaraí de Minas,mineiro,"9134,97 R$",10677 pessoas
Igarapé,mineiro,"21707,59 R$",45847 pessoas
Igaratinga,mineiro,"51874,24 R$",10830 pessoas
Iguatama,mineiro,"74348,83 R$",6826 pessoas
Ijaci,mineiro,"74228,52 R$",7003 pessoas
Ilicínea,mineiro,"21212,04 R$",12741 pessoas
Imbé de Minas,mineiro,"14503,11 R$",6986 pessoas
Inconfidentes,mineiro,"17947,26 R$",7301 pessoas
Indaiabira,mineiro,"11914,84 R$",6346 pessoas
Indianópolis,mineiro,"124934,02 R$",6171 pessoas
Ingaí,mineiro,"41544,77 R$",2580 pessoas
Inhapim,mineiro,"16852,46 R$",22692 pessoas
Inhaúma,mineiro,"22951,75 R$",6239 pessoas
Inimutaba,mineiro,"11931,24 R$",7371 pessoas
Ipaba,mineiro,"9527,36 R$",17136 pessoas
Ipanema,mineiro,"17115,04 R$",19522 pessoas
Ipatinga,mineiro,"65869,82 R$",227731 pessoas
Ipiaçu,mineiro,"43292,43 R$",3775 pessoas
Ipuiúna,mineiro,"18563,37 R$",9135 pessoas
Iraí de Minas,mineiro,"42670,29 R$",7180 pessoas
Itabira,mineiro,"123006,06 R$",113343 pessoas
Itabirinha,mineiro,"11723,25 R$",10362 pessoas
Itabirito,mineiro,247940 R$,53365 pessoas
Itacambira,mineiro,"11331,15 R$",4252 pessoas
Itacarambi,mineiro,"12454,64 R$",17208 pessoas
Itaguara,mineiro,"29790,11 R$",13846 pessoas
Itaipé,mineiro,"9419,18 R$",10463 pessoas
Itajubá,mineiro,"33630,33 R$",93073 pessoas
Itamarandiba,mineiro,"18431,8 R$",32948 pessoas
Itamarati de Minas,mineiro,15321 R$,3690 pessoas
Itambacuri,mineiro,"14696,07 R$",21042 pessoas
Itambé do Mato Dentro,mineiro,17678 R$,2142 pessoas
Itamogi,mineiro,"23351,61 R$",10770 pessoas
Itamonte,mineiro,"74613,56 R$",14786 pessoas
Itanhandu,mineiro,"30315,87 R$",15236 pessoas
Itanhomi,mineiro,"12341,6 R$",11128 pessoas
Itaobim,mineiro,"14701,65 R$",19151 pessoas
Itapagipe,mineiro,"33155,1 R$",13690 pessoas
Itapecerica,mineiro,"28915,19 R$",21046 pessoas
Itapeva,mineiro,"85067,72 R$",12692 pessoas
Itatiaiuçu,mineiro,"610779,65 R$",12966 pessoas
Itaú de Minas,mineiro,"44471,67 R$",14406 pessoas
Itaúna,mineiro,"53834,65 R$",97669 pessoas
Itaverava,mineiro,"13411,54 R$",5642 pessoas
Itinga,mineiro,"9849,06 R$",13745 pessoas
Itueta,mineiro,"20119,67 R$",6055 pessoas
Ituiutaba,mineiro,"35891,17 R$",102217 pessoas
Itumirim,mineiro,"15326,47 R$",6638 pessoas
Iturama,mineiro,"50309,34 R$",38295 pessoas
Itutinga,mineiro,"46016,16 R$",4217 pessoas
Jaboticatubas,mineiro,"14403,17 R$",20406 pessoas
Jacinto,mineiro,"10680,55 R$",11042 pessoas
Jacuí,mineiro,"19619,02 R$",7495 pessoas
Jacutinga,mineiro,"43106,68 R$",25525 pessoas
Jaguaraçu,mineiro,"34860,43 R$",3092 pessoas
Jaíba,mineiro,"21310,16 R$",37660 pessoas
Jampruca,mineiro,"15136,53 R$",4296 pessoas
Janaúba,mineiro,"22157,83 R$",70699 pessoas
Januária,mineiro,"12133,95 R$",65150 pessoas
